[BrainGB]
avg_auc=0.8270 +-  0.0398, avg_acc=0.7373 +-  0.0498, avg_sens=0.6045 +-  0.1435, avg_specs=0.8379 +-  0.0513



[woNeuroGraph]
avg_auc=0.7196 +-  0.0407, avg_acc=0.6706 +-  0.0334, avg_sens=0.6273 +-  0.1752, avg_specs=0.7034 +-  0.1090
avg_auc=0.7052 +-  0.0668, avg_acc=0.6500 +-  0.0474, avg_sens=0.5886 +-  0.1756, avg_specs=0.6966 +-  0.1265
avg_auc=0.6938 +-  0.0584, avg_acc=0.6382 +-  0.0378, avg_sens=0.5886 +-  0.1825, avg_specs=0.6759 +-  0.1197
avg_auc=0.6972 +-  0.0492, avg_acc=0.6471 +-  0.0210, avg_sens=0.5886 +-  0.1723, avg_specs=0.6914 +-  0.1181
avg_auc=0.6900 +-  0.0383, avg_acc=0.6333 +-  0.0241, avg_sens=0.5545 +-  0.1804, avg_specs=0.6931 +-  0.1106
avg_auc=0.6946 +-  0.0332, avg_acc=0.6314 +-  0.0311, avg_sens=0.5386 +-  0.1386, avg_specs=0.7017 +-  0.1169
avg_auc=0.6893 +-  0.0611, avg_acc=0.6422 +-  0.0395, avg_sens=0.5727 +-  0.1739, avg_specs=0.6948 +-  0.1120
avg_auc=0.6971 +-  0.0634, avg_acc=0.6382 +-  0.0376, avg_sens=0.5000 +-  0.2043, avg_specs=0.7431 +-  0.1150
avg_auc=0.6856 +-  0.0502, avg_acc=0.6235 +-  0.0343, avg_sens=0.5250 +-  0.1771, avg_specs=0.6983 +-  0.1157
avg_auc=0.6921 +-  0.0523, avg_acc=0.6402 +-  0.0404, avg_sens=0.5864 +-  0.1444, avg_specs=0.6810 +-  0.1286



[woBrainNetTF]
avg_auc=0.7891 +-  0.0445, avg_acc=0.7157 +-  0.0542, avg_sens=0.6205 +-  0.1383, avg_specs=0.7879 +-  0.1035
avg_auc=0.7453 +-  0.0369, avg_acc=0.6745 +-  0.0591, avg_sens=0.5182 +-  0.2058, avg_specs=0.7931 +-  0.0944
avg_auc=0.7217 +-  0.0372, avg_acc=0.6765 +-  0.0434, avg_sens=0.5682 +-  0.2211, avg_specs=0.7586 +-  0.1422
avg_auc=0.7183 +-  0.0408, avg_acc=0.6647 +-  0.0350, avg_sens=0.5432 +-  0.1529, avg_specs=0.7569 +-  0.0933
avg_auc=0.7311 +-  0.0565, avg_acc=0.6716 +-  0.0562, avg_sens=0.5682 +-  0.1127, avg_specs=0.7500 +-  0.0810
avg_auc=0.6894 +-  0.0368, avg_acc=0.6314 +-  0.0452, avg_sens=0.4045 +-  0.1986, avg_specs=0.8034 +-  0.1272
avg_auc=0.6738 +-  0.0735, avg_acc=0.6294 +-  0.0472, avg_sens=0.3477 +-  0.2227, avg_specs=0.8431 +-  0.1127
avg_auc=0.7109 +-  0.0467, avg_acc=0.6333 +-  0.0727, avg_sens=0.5727 +-  0.1757, avg_specs=0.6793 +-  0.2415
avg_auc=0.7024 +-  0.0421, avg_acc=0.6373 +-  0.0462, avg_sens=0.4614 +-  0.1801, avg_specs=0.7707 +-  0.1085
avg_auc=0.7098 +-  0.0305, avg_acc=0.6510 +-  0.0405, avg_sens=0.5114 +-  0.0742, avg_specs=0.7569 +-  0.0737

