[BrainGB]
avg_auc=0.7062 +-  0.0464, avg_acc=0.6409 +-  0.0435, avg_sens=0.6509 +-  0.0891, avg_specs=0.6359 +-  0.0972
avg_auc=0.7075 +-  0.0470, avg_acc=0.6429 +-  0.0432, avg_sens=0.6200 +-  0.1068, avg_specs=0.6714 +-  0.1144
avg_auc=0.7063 +-  0.0458, avg_acc=0.6419 +-  0.0341, avg_sens=0.6346 +-  0.0964, avg_specs=0.6543 +-  0.1233
avg_auc=0.7070 +-  0.0470, avg_acc=0.6443 +-  0.0437, avg_sens=0.5589 +-  0.1291, avg_specs=0.7417 +-  0.0952
avg_auc=0.7055 +-  0.0428, avg_acc=0.6443 +-  0.0468, avg_sens=0.6012 +-  0.1336, avg_specs=0.6937 +-  0.0914
avg_auc=0.7166 +-  0.0475, avg_acc=0.6360 +-  0.0302, avg_sens=0.5702 +-  0.1359, avg_specs=0.7042 +-  0.1485



[NeuroGraph]
avg_auc=0.7410 +-  0.0406, avg_acc=0.6739 +-  0.0311, avg_sens=0.7566 +-  0.1220, avg_specs=0.5769 +-  0.1497
avg_auc=0.7347 +-  0.0343, avg_acc=0.6547 +-  0.0235, avg_sens=0.7426 +-  0.1226, avg_specs=0.5516 +-  0.1405
avg_auc=0.7383 +-  0.0318, avg_acc=0.6690 +-  0.0232, avg_sens=0.7582 +-  0.1101, avg_specs=0.5683 +-  0.1068
avg_auc=0.7365 +-  0.0391, avg_acc=0.6621 +-  0.0340, avg_sens=0.7611 +-  0.1100, avg_specs=0.5505 +-  0.1485
avg_auc=0.7387 +-  0.0408, avg_acc=0.6591 +-  0.0263, avg_sens=0.7482 +-  0.1133, avg_specs=0.5585 +-  0.1458
avg_auc=0.7411 +-  0.0420, avg_acc=0.6714 +-  0.0365, avg_sens=0.7586 +-  0.1136, avg_specs=0.5758 +-  0.1345
avg_auc=0.7409 +-  0.0344, avg_acc=0.6690 +-  0.0247, avg_sens=0.7865 +-  0.1107, avg_specs=0.5394 +-  0.1226
avg_auc=0.7387 +-  0.0398, avg_acc=0.6680 +-  0.0313, avg_sens=0.7646 +-  0.0861, avg_specs=0.5593 +-  0.1290
avg_auc=0.7340 +-  0.0464, avg_acc=0.6655 +-  0.0370, avg_sens=0.7880 +-  0.1024, avg_specs=0.5282 +-  0.1586
avg_auc=0.7364 +-  0.0346, avg_acc=0.6626 +-  0.0302, avg_sens=0.7673 +-  0.0960, avg_specs=0.5461 +-  0.1129



[BrainNetTF]
avg_auc=0.7377 +-  0.0333, avg_acc=0.6601 +-  0.0341, avg_sens=0.6789 +-  0.1433, avg_specs=0.6408 +-  0.1010
avg_auc=0.7273 +-  0.0358, avg_acc=0.6611 +-  0.0337, avg_sens=0.6371 +-  0.1011, avg_specs=0.6857 +-  0.0772
avg_auc=0.7293 +-  0.0417, avg_acc=0.6596 +-  0.0397, avg_sens=0.6862 +-  0.1007, avg_specs=0.6360 +-  0.0995
avg_auc=0.7340 +-  0.0348, avg_acc=0.6626 +-  0.0357, avg_sens=0.6541 +-  0.0961, avg_specs=0.6745 +-  0.0673
avg_auc=0.7337 +-  0.0331, avg_acc=0.6606 +-  0.0413, avg_sens=0.6727 +-  0.1121, avg_specs=0.6514 +-  0.0983
avg_auc=0.7323 +-  0.0402, avg_acc=0.6562 +-  0.0356, avg_sens=0.6442 +-  0.1656, avg_specs=0.6701 +-  0.1138
avg_auc=0.7318 +-  0.0418, avg_acc=0.6542 +-  0.0312, avg_sens=0.6719 +-  0.1280, avg_specs=0.6378 +-  0.1143
avg_auc=0.7397 +-  0.0321, avg_acc=0.6626 +-  0.0212, avg_sens=0.7222 +-  0.1161, avg_specs=0.6071 +-  0.1558
avg_auc=0.7353 +-  0.0346, avg_acc=0.6522 +-  0.0437, avg_sens=0.6136 +-  0.1548, avg_specs=0.6979 +-  0.0989
avg_auc=0.7351 +-  0.0327, avg_acc=0.6670 +-  0.0305, avg_sens=0.7359 +-  0.1136, avg_specs=0.5933 +-  0.1339



[woNeuroGraph]
avg_auc=0.6625 +-  0.0404, avg_acc=0.6143 +-  0.0328, avg_sens=0.6199 +-  0.1651, avg_specs=0.5908 +-  0.1842
avg_auc=0.6464 +-  0.0262, avg_acc=0.5803 +-  0.0473, avg_sens=0.4536 +-  0.2734, avg_specs=0.7001 +-  0.2072
avg_auc=0.6295 +-  0.0384, avg_acc=0.5768 +-  0.0443, avg_sens=0.5765 +-  0.2381, avg_specs=0.5836 +-  0.2379
avg_auc=0.6344 +-  0.0546, avg_acc=0.5759 +-  0.0418, avg_sens=0.5366 +-  0.3242, avg_specs=0.5954 +-  0.2947
avg_auc=0.6269 +-  0.0473, avg_acc=0.5557 +-  0.0372, avg_sens=0.4817 +-  0.3091, avg_specs=0.6254 +-  0.3185
avg_auc=0.6204 +-  0.0531, avg_acc=0.5586 +-  0.0561, avg_sens=0.4326 +-  0.2660, avg_specs=0.6930 +-  0.2390
avg_auc=0.6303 +-  0.0409, avg_acc=0.5709 +-  0.0389, avg_sens=0.5851 +-  0.2441, avg_specs=0.5586 +-  0.2840
avg_auc=0.6281 +-  0.0372, avg_acc=0.5581 +-  0.0332, avg_sens=0.7417 +-  0.2649, avg_specs=0.3452 +-  0.2955
avg_auc=0.6091 +-  0.0285, avg_acc=0.5611 +-  0.0260, avg_sens=0.8245 +-  0.1570, avg_specs=0.2651 +-  0.2099
avg_auc=0.5971 +-  0.0494, avg_acc=0.5419 +-  0.0359, avg_sens=0.4183 +-  0.2770, avg_specs=0.6853 +-  0.2815



[woBrainNetTF]
avg_auc=0.6531 +-  0.0652, avg_acc=0.5488 +-  0.0689, avg_sens=0.6672 +-  0.3748, avg_specs=0.4330 +-  0.4010
avg_auc=0.6179 +-  0.0597, avg_acc=0.5325 +-  0.0677, avg_sens=0.6108 +-  0.4212, avg_specs=0.4580 +-  0.4301
avg_auc=0.6122 +-  0.0452, avg_acc=0.5217 +-  0.0455, avg_sens=0.7229 +-  0.3922, avg_specs=0.3142 +-  0.4094
avg_auc=0.6188 +-  0.0838, avg_acc=0.5246 +-  0.0387, avg_sens=0.5293 +-  0.4520, avg_specs=0.5059 +-  0.4480
avg_auc=0.5520 +-  0.0620, avg_acc=0.5113 +-  0.0398, avg_sens=0.6574 +-  0.4481, avg_specs=0.3596 +-  0.4541
avg_auc=0.5200 +-  0.0606, avg_acc=0.5202 +-  0.0439, avg_sens=0.4882 +-  0.4243, avg_specs=0.5498 +-  0.4176
avg_auc=0.5481 +-  0.0700, avg_acc=0.5236 +-  0.0515, avg_sens=0.5620 +-  0.4090, avg_specs=0.4846 +-  0.4184
avg_auc=0.5263 +-  0.0576, avg_acc=0.4961 +-  0.0343, avg_sens=0.6548 +-  0.4486, avg_specs=0.3515 +-  0.4505
avg_auc=0.5241 +-  0.0486, avg_acc=0.5128 +-  0.0427, avg_sens=0.6489 +-  0.4504, avg_specs=0.3697 +-  0.4603
avg_auc=0.5652 +-  0.0607, avg_acc=0.5241 +-  0.0509, avg_sens=0.7251 +-  0.3939, avg_specs=0.3139 +-  0.4086
