[GCN]
auc=0.7566614420062696, acc=0.6862745098039216, sens=0.6590909090909091, spec=0.7068965517241379
auc=0.7813479623824452, acc=0.696078431372549, sens=0.5, spec=0.8448275862068966
auc=0.802115987460815, acc=0.6862745098039216, sens=0.5, spec=0.8275862068965517
auc=0.7092476489028213, acc=0.5686274509803921, sens=0.0, spec=1.0
auc=0.7974137931034483, acc=0.5980392156862745, sens=0.06818181818181818, spec=1.0
auc=0.7237460815047022, acc=0.6176470588235294, sens=0.2727272727272727, spec=0.8793103448275862
auc=0.856974921630094, acc=0.7549019607843137, sens=0.75, spec=0.7586206896551724
auc=0.7981974921630094, acc=0.7647058823529411, sens=0.7045454545454546, spec=0.8103448275862069
auc=0.7927115987460814, acc=0.7156862745098039, sens=0.6136363636363636, spec=0.7931034482758621
auc=0.707680250783699, acc=0.6176470588235294, sens=0.4090909090909091, spec=0.7758620689655172



[CPM-POS]
auc=0.6794670846394983, acc=0.6274509803921569, sens=0.5227272727272727, spec=0.7068965517241379
auc=0.7492163009404389, acc=0.6666666666666666, sens=0.5227272727272727, spec=0.7758620689655172
auc=0.7143416927899686, acc=0.6470588235294118, sens=0.4772727272727273, spec=0.7758620689655172
auc=0.7233542319749217, acc=0.6372549019607843, sens=0.6136363636363636, spec=0.6551724137931034
auc=0.7484326018808777, acc=0.6568627450980392, sens=0.5, spec=0.7758620689655172
auc=0.7480407523510972, acc=0.696078431372549, sens=0.6363636363636364, spec=0.7413793103448276
auc=0.6857366771159874, acc=0.6372549019607843, sens=0.4772727272727273, spec=0.7586206896551724
auc=0.6300940438871474, acc=0.5882352941176471, sens=0.45454545454545453, spec=0.6896551724137931
auc=0.6273510971786834, acc=0.6274509803921569, sens=0.4318181818181818, spec=0.7758620689655172
auc=0.5642633228840126, acc=0.5294117647058824, sens=0.45454545454545453, spec=0.5862068965517241



[CPM-NEG]
auc=0.686128526645768, acc=0.6470588235294118, sens=0.4772727272727273, spec=0.7758620689655172
auc=0.747257053291536, acc=0.7058823529411765, sens=0.5454545454545454, spec=0.8275862068965517
auc=0.7480407523510971, acc=0.696078431372549, sens=0.5681818181818182, spec=0.7931034482758621
auc=0.6833855799373041, acc=0.6862745098039216, sens=0.5909090909090909, spec=0.7586206896551724
auc=0.7527429467084639, acc=0.6470588235294118, sens=0.5227272727272727, spec=0.7413793103448276
auc=0.744514106583072, acc=0.6862745098039216, sens=0.6136363636363636, spec=0.7413793103448276
auc=0.7378526645768024, acc=0.6666666666666666, sens=0.5, spec=0.7931034482758621
auc=0.6606583072100314, acc=0.5980392156862745, sens=0.4318181818181818, spec=0.7241379310344828
auc=0.6598746081504703, acc=0.6568627450980392, sens=0.4772727272727273, spec=0.7931034482758621
auc=0.570141065830721, acc=0.5098039215686274, sens=0.38636363636363635, spec=0.603448275862069


[CMEP]
auc=0.814655172413793, acc=0.7450980392156863, sens=0.5454545454545454, spec=0.896551724137931
auc=0.8236677115987461, acc=0.696078431372549, sens=0.5227272727272727, spec=0.8275862068965517
auc=0.7997648902821317, acc=0.7549019607843137, sens=0.5909090909090909, spec=0.8793103448275862
auc=0.7797805642633229, acc=0.7058823529411765, sens=0.5454545454545454, spec=0.8275862068965517
auc=0.7758620689655172, acc=0.696078431372549, sens=0.5909090909090909, spec=0.7758620689655172
auc=0.8009404388714734, acc=0.7156862745098039, sens=0.6590909090909091, spec=0.7586206896551724
auc=0.8718652037617555, acc=0.7647058823529411, sens=0.6590909090909091, spec=0.8448275862068966
auc=0.7425548589341692, acc=0.696078431372549, sens=0.5454545454545454, spec=0.8103448275862069
auc=0.6614420062695925, acc=0.6666666666666666, sens=0.5681818181818182, spec=0.7413793103448276
auc=0.7053291536050157, acc=0.6372549019607843, sens=0.45454545454545453, spec=0.7758620689655172

[LogReg]
auc=0.8079937304075235, acc=0.7156862745098039, sens=0.6136363636363636, spec=0.7931034482758621
auc=0.8436520376175549, acc=0.7450980392156863, sens=0.7045454545454546, spec=0.7758620689655172
auc=0.8448275862068966, acc=0.7058823529411765, sens=0.5227272727272727, spec=0.8448275862068966
auc=0.8487460815047021, acc=0.7647058823529411, sens=0.6818181818181818, spec=0.8275862068965517
auc=0.8138714733542319, acc=0.7352941176470589, sens=0.6136363636363636, spec=0.8275862068965517
auc=0.8087774294670846, acc=0.7254901960784313, sens=0.7045454545454546, spec=0.7413793103448276
auc=0.8887147335423198, acc=0.7745098039215687, sens=0.6136363636363636, spec=0.896551724137931
auc=0.8123040752351097, acc=0.7745098039215687, sens=0.6590909090909091, spec=0.8620689655172413
auc=0.7778213166144201, acc=0.7450980392156863, sens=0.5681818181818182, spec=0.8793103448275862
auc=0.7315830721003134, acc=0.6470588235294118, sens=0.5227272727272727, spec=0.7413793103448276


[ElasticNet]
auc=0.7594043887147336, acc=0.7058823529411765, sens=0.5227272727272727, spec=0.8448275862068966
auc=0.8369905956112853, acc=0.803921568627451, sens=0.7727272727272727, spec=0.8275862068965517
auc=0.8371865203761756, acc=0.7254901960784313, sens=0.6136363636363636, spec=0.8103448275862069
auc=0.8428683385579938, acc=0.7941176470588235, sens=0.6136363636363636, spec=0.9310344827586207
auc=0.7533307210031348, acc=0.7450980392156863, sens=0.6136363636363636, spec=0.8448275862068966
auc=0.7484326018808777, acc=0.7156862745098039, sens=0.7727272727272727, spec=0.6724137931034483
auc=0.8510971786833856, acc=0.803921568627451, sens=0.7272727272727273, spec=0.8620689655172413
auc=0.7931034482758621, acc=0.7450980392156863, sens=0.6818181818181818, spec=0.7931034482758621
auc=0.7006269592476488, acc=0.7254901960784313, sens=0.5227272727272727, spec=0.8793103448275862
auc=0.6612460815047021, acc=0.6372549019607843, sens=0.5227272727272727, spec=0.7241379310344828


[SVM]
auc=0.8146551724137933, acc=0.7352941176470589, sens=0.6363636363636364, spec=0.8103448275862069
auc=0.8487460815047021, acc=0.7647058823529411, sens=0.7045454545454546, spec=0.8103448275862069
auc=0.8467868338557993, acc=0.7352941176470589, sens=0.5681818181818182, spec=0.8620689655172413
auc=0.8644200626959249, acc=0.7843137254901961, sens=0.7272727272727273, spec=0.8275862068965517
auc=0.8162225705329154, acc=0.7352941176470589, sens=0.6363636363636364, spec=0.8103448275862069
auc=0.8079937304075234, acc=0.7058823529411765, sens=0.6818181818181818, spec=0.7241379310344828
auc=0.8781347962382445, acc=0.7647058823529411, sens=0.6136363636363636, spec=0.8793103448275862
auc=0.8279780564263324, acc=0.7745098039215687, sens=0.6590909090909091, spec=0.8620689655172413
auc=0.7884012539184954, acc=0.7352941176470589, sens=0.5909090909090909, spec=0.8448275862068966
auc=0.7452978056426333, acc=0.6372549019607843, sens=0.5454545454545454, spec=0.7068965517241379


[RandomForest]
auc=0.6733934169278998, acc=0.5784313725490197, sens=0.29545454545454547, spec=0.7931034482758621
auc=0.7474529780564263, acc=0.6568627450980392, sens=0.36363636363636365, spec=0.8793103448275862
auc=0.6965125391849529, acc=0.6470588235294118, sens=0.3409090909090909, spec=0.8793103448275862
auc=0.7382445141065831, acc=0.6078431372549019, sens=0.3181818181818182, spec=0.8275862068965517
auc=0.7125783699059561, acc=0.7058823529411765, sens=0.4318181818181818, spec=0.9137931034482759
auc=0.7182601880877744, acc=0.6078431372549019, sens=0.2727272727272727, spec=0.8620689655172413
auc=0.7392241379310345, acc=0.6862745098039216, sens=0.38636363636363635, spec=0.9137931034482759
auc=0.663205329153605, acc=0.5686274509803921, sens=0.3409090909090909, spec=0.7413793103448276
auc=0.6945532915360502, acc=0.6666666666666666, sens=0.38636363636363635, spec=0.8793103448275862
auc=0.609717868338558, acc=0.5882352941176471, sens=0.45454545454545453, spec=0.6896551724137931


[NaiveBayes]
auc=0.6888714733542319, acc=0.6470588235294118, sens=0.5909090909090909, spec=0.6896551724137931
auc=0.719435736677116, acc=0.6372549019607843, sens=0.5454545454545454, spec=0.7068965517241379
auc=0.7076802507836991, acc=0.6568627450980392, sens=0.5454545454545454, spec=0.7413793103448276
auc=0.6855407523510971, acc=0.6568627450980392, sens=0.6818181818181818, spec=0.6379310344827587
auc=0.7347178683385579, acc=0.6862745098039216, sens=0.6363636363636364, spec=0.7241379310344828
auc=0.7319749216300939, acc=0.696078431372549, sens=0.7045454545454546, spec=0.6896551724137931
auc=0.7394200626959249, acc=0.696078431372549, sens=0.6136363636363636, spec=0.7586206896551724
auc=0.6518416927899687, acc=0.6176470588235294, sens=0.5909090909090909, spec=0.6379310344827587
auc=0.6351880877742947, acc=0.6372549019607843, sens=0.5227272727272727, spec=0.7241379310344828
auc=0.566614420062696, acc=0.5294117647058824, sens=0.5, spec=0.5517241379310345
