[GCN]
auc=0.626823575179926, acc=0.5960591133004927, sens=0.6320754716981132, spec=0.5567010309278351
auc=0.6632672882672882, acc=0.6108374384236454, sens=0.6153846153846154, spec=0.6060606060606061
auc=0.6880827505827506, acc=0.6699507389162561, sens=0.6634615384615384, spec=0.6767676767676768
auc=0.7096837944664032, acc=0.6650246305418719, sens=0.7043478260869566, spec=0.6136363636363636


[SVM]
auc=0.7031985871271585, acc=0.625615763546798, sens=0.5892857142857143, spec=0.6703296703296703
auc=0.7030214424951267, acc=0.6600985221674877, sens=0.6203703703703703, spec=0.7052631578947368
auc=0.7469363936977241, acc=0.6551724137931034, sens=0.6415094339622641, spec=0.6701030927835051
auc=0.7119363654108921, acc=0.6699507389162561, sens=0.7127659574468085, spec=0.6330275229357798
auc=0.7358197358197358, acc=0.6798029556650246, sens=0.696969696969697, spec=0.6634615384615384
auc=0.7397047397047397, acc=0.6699507389162561, sens=0.6923076923076923, spec=0.6464646464646465
auc=0.648074304609998, acc=0.5911330049261084, sens=0.5849056603773585, spec=0.5979381443298969
auc=0.7057109557109558, acc=0.6600985221674877, sens=0.6634615384615384, spec=0.6565656565656566
auc=0.6661324786324786, acc=0.6108374384236454, sens=0.625, spec=0.5959595959595959
auc=0.7519268774703557, acc=0.7044334975369458, sens=0.7130434782608696, spec=0.6931818181818182


[RandomForest]
auc=0.6505102040816325, acc=0.6206896551724138, sens=0.5892857142857143, spec=0.6593406593406593
auc=0.6501949317738791, acc=0.5714285714285714, sens=0.6018518518518519, spec=0.5368421052631579
auc=0.738183232834079, acc=0.6699507389162561, sens=0.660377358490566, spec=0.6804123711340206
auc=0.7069100136638687, acc=0.6650246305418719, sens=0.7127659574468085, spec=0.6238532110091743
auc=0.7105672105672105, acc=0.6403940886699507, sens=0.7070707070707071, spec=0.5769230769230769
auc=0.749028749028749, acc=0.6847290640394089, sens=0.6826923076923077, spec=0.6868686868686869
auc=0.6639758801789535, acc=0.5812807881773399, sens=0.6226415094339622, spec=0.5360824742268041
auc=0.7282439782439782, acc=0.6748768472906403, sens=0.7307692307692307, spec=0.6161616161616161
auc=0.6444250194250195, acc=0.6108374384236454, sens=0.7019230769230769, spec=0.5151515151515151
auc=0.7371541501976285, acc=0.6748768472906403, sens=0.6782608695652174, spec=0.6704545454545454


[NaiveBayes]
auc=0.6319171899529042, acc=0.5763546798029556, sens=0.6160714285714286, spec=0.5274725274725275
auc=0.5914230019493177, acc=0.5812807881773399, sens=0.6481481481481481, spec=0.5052631578947369
auc=0.7248589768527522, acc=0.6748768472906403, sens=0.660377358490566, spec=0.6907216494845361
auc=0.6795822760101503, acc=0.6305418719211823, sens=0.7021276595744681, spec=0.5688073394495413
auc=0.6171328671328672, acc=0.5862068965517241, sens=0.6161616161616161, spec=0.5576923076923077
auc=0.7333916083916083, acc=0.6699507389162561, sens=0.6826923076923077, spec=0.6565656565656566
auc=0.5946313946702976, acc=0.5714285714285714, sens=0.6415094339622641, spec=0.4948453608247423
auc=0.6888111888111889, acc=0.6600985221674877, sens=0.7307692307692307, spec=0.5858585858585859
auc=0.583479020979021, acc=0.5566502463054187, sens=0.6153846153846154, spec=0.494949494949495
auc=0.6756916996047431, acc=0.645320197044335, sens=0.6956521739130435, spec=0.5795454545454546

